bib_key,title,year,doi,category,original_status,local_pdf,source_markdown,reference_years
Anderson2019,Evidence for the Feedback Role of Performance Measurement Systems,2019,10.1287/mnsc.2018.3129,反馈、绩效与激励,local_pdf,papers_originals\paper2_ewa\Anderson2019.pdf,RP_使用AI的奖励与能力高估_2026-08-02.md,2019
Balakrishnan2026,Human-Algorithm Collaboration with Private Information: Naïve Advice-Weighting Behavior and Mitigation,2026,10.1287/mnsc.2022.03850,算法建议与人机协作,doi_only,,AI信任错配的政策治理_管理学文献补充_2026-08-02.md,2026
Benabou2016,"Mindful Economics: The Production, Consumption, and Value of Beliefs",2016,10.1257/jep.30.3.141,动机性信念,doi_only,,RP_AI_Use_Rewards_and_AI_Ability_Overestimation_English_2026-08-02.md; RP_使用AI的奖励与能力高估_2026-08-02.md,2016
Bockstedt2026,Humans’ Use of AI Assistance: The Effect of Loss Aversion on Willingness to Delegate Decisions,2026,10.1287/mnsc.2024.05585,算法建议与人机协作,doi_only,,RP_AI_Use_Rewards_and_AI_Ability_Overestimation_English_2026-08-02.md,2025
Bonner2002,"The effects of monetary incentives on effort and task performance: theories, evidence, and a framework for research",2002,10.1016/S0361-3682(01)00052-6,反馈、绩效与激励,doi_only,,RP_使用AI的奖励与能力高估_2026-08-02.md,2002
Brunnermeier2005,Optimal Expectations,2005,10.1257/0002828054825493,动机性信念,local_pdf,papers_originals\paper2_ewa\Brunnermeier2005.pdf,RP_AI_Use_Rewards_and_AI_Ability_Overestimation_English_2026-08-02.md,2005
Camerer1999,Experience-weighted Attraction Learning in Normal Form Games,1999,10.1111/1468-0262.00054,动态学习与 EWA,local_pdf,papers_originals\paper2_ewa\Camerer1999.pdf,AI信任研究背景与整体架构_讨论稿_2026-07-31.md; 个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,1999
Caro2026,Introduction to the Special Issue on the Human-Algorithm Connection,2026,10.1287/mnsc.2023.intro.v72.n1,算法建议与人机协作,doi_only,,AI信任错配的政策治理_管理学文献补充_2026-08-02.md,2025
Cheng2026,Sycophantic AI decreases prosocial intentions and promotes dependence,2026,10.1126/science.aec8352,不可信 AI 与依赖后果,doi_only,,个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,2026
Choi2026,For Me or Against Me? Reactions to AI (vs. Human) Decisions That Are Favorable or Unfavorable to the Self and the Role of Fairness Perception,2026,10.1177/01461672241288338,自利结果与公平判断,local_pdf,papers_originals\paper2_ewa\Choi2026.pdf,个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,2026
Dargnies2026,"Aversion to Hiring Algorithms: Transparency, Gender Profiling, and Self-Confidence",2026,10.1287/mnsc.2022.02774,算法建议与人机协作,doi_only,,AI信任错配的政策治理_管理学文献补充_2026-08-02.md,2026
deVisser2020,Towards a Theory of Longitudinal Trust Calibration in Human–Robot Teams,2020,10.1007/s12369-019-00596-x,信任与校准基础,doi_only,,AI信任研究背景与整体架构_讨论稿_2026-07-31.md; 个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,2020
Dietvorst2015,Algorithm aversion: People erroneously avoid algorithms after seeing them err.,2015,10.1037/xge0000033,算法厌恶与欣赏,local_pdf,papers_originals\paper2_ewa\Dietvorst2015.pdf,AI信任研究背景与整体架构_讨论稿_2026-07-31.md; RP_AI_Use_Rewards_and_AI_Ability_Overestimation_English_2026-08-02.md; RP_使用AI的奖励与能力高估_2026-08-02.md; 个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,2015
Dietvorst2018,Overcoming Algorithm Aversion: People Will Use Imperfect Algorithms If They Can (Even Slightly) Modify Them,2018,10.1287/mnsc.2016.2643,算法厌恶与欣赏,local_pdf,papers_originals\paper2_ewa\Dietvorst2018.pdf,AI信任研究背景与整体架构_讨论稿_2026-07-31.md; RP_AI_Use_Rewards_and_AI_Ability_Overestimation_English_2026-08-02.md; RP_使用AI的奖励与能力高估_2026-08-02.md; 个人利益与不可信AI信任_文献检索与议题判断_2026-08-01.md,2018
